Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

2.75135040,-101.91060000,NaN
2.75611877,-101.95810000,NaN
2.76088715,-102.00380000,NaN
2.76565552,-101.95990000,NaN
2.77042389,-102.04550000,NaN
2.77519226,-102.14850000,NaN
2.77996063,-101.86820000,NaN
2.78472900,-101.82350000,NaN
2.78949738,-101.83030000,NaN
2.79426575,-101.96240000,NaN
2.79903412,-102.12720000,NaN
2.80380249,-101.89400000,NaN
2.80857086,-101.80630000,NaN
2.81333923,-101.89170000,NaN
2.81810760,-101.86610000,NaN
2.82287598,-101.89060000,NaN
2.82764435,-101.71440000,NaN
2.83241272,-101.50510000,NaN
2.83718109,-101.68270000,NaN
2.84194946,-101.75210000,NaN
2.84671783,-102.08910000,NaN
2.85148621,-101.83730000,NaN
2.85625458,-101.91830000,NaN
2.86102295,-101.77430000,NaN
2.86579132,-102.17940000,NaN
2.87055969,-102.22130000,NaN
2.87532806,-101.95160000,NaN
2.88009644,-101.72870000,NaN
2.88486481,-101.78860000,NaN
2.88963318,-101.85910000,NaN
2.89440155,-101.96450000,NaN
2.89916992,-101.89270000,NaN
2.90393829,-101.59810000,NaN
2.90870667,-101.60960000,NaN
2.91347504,-101.54590000,NaN
2.91824341,-101.57730000,NaN
2.92301178,-101.12570000,NaN
2.92778015,-101.15990000,NaN
2.93254852,-101.02440000,NaN
2.93731689,-101.09100000,NaN
2.94208527,-101.40540000,NaN
2.94685364,-101.28100000,NaN
2.95162201,-101.07670000,NaN
2.95639038,-101.16430000,NaN
2.96115875,-101.51580000,NaN
2.96592712,-101.61360000,NaN
2.97069550,-101.32830000,NaN
2.97546387,-101.01890000,NaN
2.98023224,-100.96080000,NaN
2.98500061,-100.73510000,NaN
2.98976898,-100.55160000,NaN
2.99453735,-100.36090000,NaN
2.99930573,-100.11600000,NaN
3.00407410,-100.12370000,NaN
3.00884247,-99.63062000,NaN
3.01361084,-99.31683000,NaN
3.01837921,-99.53400000,NaN
3.02314758,-100.10360000,NaN
3.02791595,-100.37680000,NaN
3.03268433,-100.53010000,NaN
3.03745270,-101.06640000,NaN
3.04222107,-101.12900000,NaN
3.04698944,-101.41500000,NaN
3.05175781,-101.45010000,NaN
3.05652618,-101.47580000,NaN
3.06129456,-101.67160000,NaN
3.06606293,-101.42240000,NaN
3.07083130,-101.39750000,NaN
3.07559967,-101.41550000,NaN
