Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

3.05652618,-106.02700000,NaN
3.06129456,-106.49570000,NaN
3.06606293,-106.48380000,NaN
3.07083130,-106.41270000,NaN
3.07559967,-106.43810000,NaN
3.08036804,-106.09860000,NaN
3.08513641,-106.49210000,NaN
3.08990479,-106.15830000,NaN
3.09467316,-106.14920000,NaN
3.09944153,-106.10240000,NaN
3.10420990,-106.59070000,NaN
3.10897827,-106.79600000,NaN
3.11374664,-106.58300000,NaN
3.11851501,-106.21410000,NaN
3.12328339,-106.22730000,NaN
3.12805176,-106.65740000,NaN
3.13282013,-107.05480000,NaN
3.13758850,-106.87320000,NaN
3.14235687,-106.49750000,NaN
3.14712524,-106.52470000,NaN
3.15189362,-107.10210000,NaN
3.15666199,-106.78550000,NaN
3.16143036,-105.97910000,NaN
3.16619873,-106.57220000,NaN
3.17096710,-106.58490000,NaN
3.17573547,-106.39230000,NaN
3.18050385,-105.92630000,NaN
3.18527222,-105.84330000,NaN
3.19004059,-106.37490000,NaN
3.19480896,-106.19050000,NaN
3.19957733,-106.07090000,NaN
3.20434570,-106.69880000,NaN
3.20911407,-106.35450000,NaN
3.21388245,-106.76310000,NaN
3.21865082,-106.10750000,NaN
3.22341919,-105.99710000,NaN
3.22818756,-106.56860000,NaN
3.23295593,-106.50650000,NaN
3.23772430,-106.12830000,NaN
3.24249268,-105.98410000,NaN
3.24726105,-106.46500000,NaN
3.25202942,-106.54320000,NaN
3.25679779,-107.11700000,NaN
3.26156616,-107.05160000,NaN
3.26633453,-106.41750000,NaN
3.27110291,-106.81610000,NaN
3.27587128,-106.26330000,NaN
3.28063965,-106.65020000,NaN
3.28540802,-106.90800000,NaN
3.29017639,-106.70750000,NaN
3.29494476,-106.37880000,NaN
3.29971313,-106.37530000,NaN
3.30448151,-106.17140000,NaN
3.30924988,-106.01580000,NaN
3.31401825,-106.11740000,NaN
3.31878662,-106.20040000,NaN
3.32355499,-105.97640000,NaN
3.32832336,-106.56260000,NaN
3.33309174,-106.70250000,NaN
3.33786011,-106.02510000,NaN
3.34262848,-106.58550000,NaN
3.34739685,-106.12070000,NaN
3.35216522,-105.65460000,NaN
3.35693359,-106.29600000,NaN
3.36170197,-105.87520000,NaN
3.36647034,-106.65560000,NaN
3.37123871,-106.57890000,NaN
3.37600708,-106.31090000,NaN
3.38077545,-105.97190000,NaN
3.38554382,-106.00350000,NaN
3.39031219,-105.96760000,NaN
3.39508057,-105.67790000,NaN
3.39984894,-105.98650000,NaN
3.40461731,-106.99210000,NaN
3.40938568,-106.67650000,NaN
3.41415405,-105.39810000,NaN
3.41892242,-106.01320000,NaN
3.42369080,-106.44690000,NaN
3.42845917,-105.82650000,NaN
3.43322754,-106.11850000,NaN
3.43799591,-106.01740000,NaN
3.44276428,-105.55510000,NaN
3.44753265,-105.43710000,NaN
3.45230103,-105.48860000,NaN
3.45706940,-106.30230000,NaN
3.46183777,-105.66760000,NaN
3.46660614,-105.30240000,NaN
3.47137451,-106.28010000,NaN
3.47614288,-105.51840000,NaN
3.48091125,-105.20030000,NaN
3.48567963,-104.64480000,NaN
3.49044800,-104.82500000,NaN
3.49521637,-106.29170000,NaN
3.49998474,-106.17690000,NaN
3.50475311,-105.43360000,NaN
3.50952148,-105.75650000,NaN
3.51428986,-105.99290000,NaN
3.51905823,-105.68030000,NaN
3.52382660,-105.36240000,NaN
3.52859497,-105.52900000,NaN
3.53336334,-105.74080000,NaN
3.53813171,-105.46330000,NaN
3.54290009,-105.45930000,NaN
3.54766846,-105.44290000,NaN
3.55243683,-105.62320000,NaN
3.55720520,-105.68230000,NaN
3.56197357,-104.67520000,NaN
3.56674194,-104.92170000,NaN
3.57151031,-105.43120000,NaN
3.57627869,-105.58620000,NaN
3.58104706,-104.78300000,NaN
3.58581543,-105.07920000,NaN
3.59058380,-105.47160000,NaN
3.59535217,-105.62970000,NaN
3.60012054,-105.19760000,NaN
3.60488892,-105.66450000,NaN
3.60965729,-105.85320000,NaN
3.61442566,-104.93480000,NaN
3.61919403,-104.63720000,NaN
3.62396240,-104.27020000,NaN
3.62873077,-105.32780000,NaN
3.63349915,-105.91200000,NaN
3.63826752,-105.50820000,NaN
3.64303589,-105.36450000,NaN
3.64780426,-105.27960000,NaN
3.65257263,-105.14470000,NaN
3.65734100,-105.55480000,NaN
3.66210938,-105.79830000,NaN
3.66687775,-106.03280000,NaN
3.67164612,-106.01370000,NaN
3.67641449,-105.70900000,NaN
3.68118286,-105.35420000,NaN
3.68595123,-105.61450000,NaN
3.69071960,-105.25220000,NaN
3.69548798,-105.68900000,NaN
3.70025635,-105.83930000,NaN
3.70502472,-106.49830000,NaN
3.70979309,-106.32700000,NaN
